2025-11-27T04:22:22.553Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/ubicaciones
2025-11-27T05:59:31.825Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T05:59:36.822Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T05:59:41.812Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T05:59:46.812Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T05:59:51.821Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T05:59:56.825Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:00:01.814Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:00:06.811Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:00:11.816Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:00:16.822Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:00:21.816Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:00:26.823Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:00:31.812Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:00:36.818Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:00:41.819Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:00:46.819Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:00:51.820Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:00:56.812Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:01:01.817Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:01:06.818Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:01:11.818Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:01:16.821Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:01:21.818Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:01:26.818Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:01:31.815Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:01:36.825Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:01:41.811Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:01:46.816Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:01:51.824Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:01:56.813Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:02:01.816Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:02:07.760Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:02:12.760Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:02:17.763Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:02:22.766Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:02:27.763Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:02:32.773Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:02:37.776Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:02:41.851Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:02:47.762Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:02:52.760Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:02:57.777Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:03:02.765Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:03:13.768Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:04:13.772Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:05:13.775Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:05:37.205Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:05:41.822Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:05:46.820Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:05:51.814Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:05:56.823Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:06:01.827Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:06:06.816Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:06:11.823Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:06:16.821Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:06:21.816Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:06:26.821Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:06:31.813Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:06:36.812Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:06:41.817Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:06:46.818Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:06:52.769Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:06:57.769Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:07:02.773Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:07:07.774Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:07:12.761Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:07:17.764Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:07:22.764Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:07:27.762Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:07:32.761Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:07:37.771Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:07:42.767Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:07:47.773Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:08:13.770Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:09:13.775Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:10:13.769Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:11:13.776Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:12:13.767Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:13:13.785Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:13:16.815Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:13:21.814Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:13:26.813Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:13:31.812Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:13:36.814Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:13:41.814Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:13:47.761Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:13:52.770Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:13:57.774Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:14:02.763Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:14:07.773Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:14:12.757Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:14:17.779Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:14:22.761Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:14:27.777Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:14:32.764Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:14:37.761Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:14:42.768Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:15:13.765Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T06:16:13.772Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T13:56:35.780Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T13:56:35.800Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/fixers
2025-11-27T13:56:35.806Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/ubicaciones
2025-11-27T13:56:39.426Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/ubicaciones
2025-11-27T13:56:39.435Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/fixers
2025-11-27T13:56:39.440Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/ubicaciones
2025-11-27T13:56:39.451Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/fixers
2025-11-27T13:56:40.781Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T13:56:45.780Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T13:56:50.777Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T13:56:54.262Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T13:56:54.275Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T13:56:59.277Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T13:57:05.188Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T13:57:29.768Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T13:57:35.379Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T13:57:40.392Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T13:57:45.376Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T13:57:50.382Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T13:57:55.387Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
2025-11-27T13:58:00.381Z | TxID: N/A | To: N/A | Estado: ERROR | Error: NOT_FOUND: Ruta no encontrada: /api/devcode/servicios
